Country	Season	Season type	Year	Stock	Area	Fleets	Effort	UnitEffort	Catch. kg	Catch Cat.	Report cat.	Discards Imported Or Raised
France	3	Quarter	2024	lem.27.3a47d	27.7.d	OTB_DEF_100-119_0_0	47514	kWd	211.23	Landings	R-Reported	Imported
France	3	Quarter	2024	lem.27.3a47d	27.7.d	OTB_DEF_100-119_0_0	47514	kWd	47.09	Discards	R-Reported	Raised Discard
France	1	Quarter	2024	lem.27.3a47d	27.7.d	OTB_DEF_100-119_0_0	19210	kWd	11.19	Landings	R-Reported	Imported
France	1	Quarter	2024	lem.27.3a47d	27.7.d	OTB_DEF_100-119_0_0	19210	kWd	2.49	Discards	R-Reported	Raised Discard
France	4	Quarter	2024	lem.27.3a47d	27.4	OTB_SPF_70-99_0_0_all	2597	kWd	5.16	Landings	R-Reported	Imported
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	92621	kWd	487.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	92621	kWd	2609.00	Discards	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	92621	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	85640	kWd	566.00	Landings	A-All - reported, nonre	Imported
UK (England)	1	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	85640	kWd	126.17	Discards	A-All - reported, nonre	Raised Discard
UK (England)	1	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	85640	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	205074	kWd	544.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	205074	kWd	6106.00	Discards	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	205074	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	265299	kWd	486.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	265299	kWd	1972.00	Discards	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	265299	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	22474	kWd	95.00	Landings	A-All - reported, nonre	Imported
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	22474	kWd	21.18	Discards	A-All - reported, nonre	Raised Discard
UK (England)	4	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	22474	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	1271764	kWd	3.00	Landings	A-All - reported, nonre	Imported
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	1271764	kWd	0.67	Discards	A-All - reported, nonre	Raised Discard
UK (England)	3	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	1271764	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	910548	kWd	3.00	Landings	A-All - reported, nonre	Imported
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	910548	kWd	0.67	Discards	A-All - reported, nonre	Raised Discard
UK (England)	2	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	910548	kWd	0.00	BMS landing	A-All - reported, nonre	Imported
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	180444	kWd	1374.00	Landings	R-Reported	Imported
UK(Scotland)	2024	Year	2024	lem.27.3a47d	27.7.d	OTB_CRU_70-99_0_0_all	180444	kWd	306.28	Discards	R-Reported	Raised Discard
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	41902	kWd	2376.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	41902	kWd	529.64	Discards	R-Reported	Raised Discard
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	31168	kWd	1819.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	31168	kWd	405.47	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	14645	kWd	85.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	14645	kWd	18.95	Discards	R-Reported	Raised Discard
Denmark	3	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	100713	kWd	5059.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	100713	kWd	1127.71	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	5880	kWd	109.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	5880	kWd	24.30	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	48897	kWd	1857.00	Landings	R-Reported	Imported
Denmark	4	Quarter	2024	lem.27.3a47d	27.4	OTB_DEF_100-119_0_0_all	48897	kWd	413.95	Discards	R-Reported	Raised Discard
Denmark	1	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	104503	kWd	194.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	lem.27.3a47d	27.4	OTB_CRU_70-99_0_0_all	104503	kWd	43.24	Discards	R-Reported	Raised Discard
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	220	kWd	2.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	TBB_DEF_>=120_0_0_all	220	kWd	0.45	Discards	R-Reported	Raised Discard
Denmark	4	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	9831	kWd	0.00	Landings	R-Reported	Imported
Denmark	3	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	10745	kWd	0.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	175	kWd	0.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	FPO_CRU_0_0_0_all	7181	kWd	0.00	Landings	R-Reported	Imported
Denmark	1	Quarter	2024	lem.27.3a47d	27.3.a.21	OTB_DEF_>=120_0_0_all_FDF	884	kWd	0.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.3.a.21	OTB_DEF_>=120_0_0_all_FDF	1276	kWd	0.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.4	SDN_DEF_100-119_0_0_all	202	kWd	0.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	-9	kWd	2.00	Landings	R-Reported	Imported
Denmark	2	Quarter	2024	lem.27.3a47d	27.3.a.20	TBB_DEF_>=120_0_0_all	-9	kWd	0.45	Discards	R-Reported	Raised Discard
